ticket_id,company_id,created_date,resolved_date,priority,category,status,satisfaction_score
1_0,1,2026-01-19,2026-01-19,Critical,Bug,Resolved,1
1_1,1,2025-08-30,2025-09-03,Critical,Billing,Open,2
2_0,2,2025-09-01,2025-09-03,Critical,Feature,Resolved,5
3_0,3,2022-07-24,2022-07-27,High,Billing,Open,1
4_0,4,2024-08-25,2024-08-30,Critical,Bug,Open,5
4_1,4,2025-06-10,2025-06-13,High,Feature,Escalated,4
4_2,4,2025-08-13,2025-08-16,Low,Bug,Open,4
4_3,4,2023-11-23,2023-11-27,High,Outage,Resolved,1
5_0,5,2022-12-30,2023-01-01,High,Outage,Escalated,2
5_1,5,2025-09-25,2025-09-29,Medium,Billing,Open,5
5_2,5,2022-06-21,2022-06-22,High,Billing,Open,3
5_3,5,2023-12-31,2024-01-04,Critical,Outage,Open,4
5_4,5,2023-12-05,2023-12-05,Critical,Bug,Escalated,2
6_0,6,2024-07-14,2024-07-17,Medium,Bug,Open,3
6_1,6,2024-08-15,2024-08-18,High,Feature,Open,5
6_2,6,2025-01-01,2025-01-05,Critical,Bug,Resolved,3
6_3,6,2024-07-23,2024-07-26,Medium,Feature,Resolved,4
6_4,6,2025-08-31,2025-09-01,Medium,Bug,Escalated,1
6_5,6,2025-05-04,2025-05-05,Low,Feature,Resolved,3
7_0,7,2023-04-06,2023-04-09,High,Bug,Resolved,3
7_1,7,2023-06-13,2023-06-16,Critical,Feature,Resolved,1
9_0,9,2026-01-21,2026-01-26,High,Bug,Escalated,1
9_1,9,2025-11-01,2025-11-01,Medium,Bug,Resolved,5
9_2,9,2025-12-26,2025-12-28,Medium,Bug,Open,3
9_3,9,2025-09-18,2025-09-21,High,Outage,Escalated,5
9_4,9,2025-11-12,2025-11-12,Medium,Billing,Open,3
9_5,9,2025-12-31,2026-01-01,Medium,Feature,Escalated,1
9_6,9,2025-12-29,2025-12-29,Low,Outage,Resolved,4
9_7,9,2025-10-23,2025-10-23,Medium,Billing,Open,2
9_8,9,2026-02-02,2026-02-07,Medium,Billing,Escalated,4
10_0,10,2024-05-16,2024-05-21,High,Feature,Escalated,2
10_1,10,2025-01-10,2025-01-11,Critical,Billing,Escalated,1
10_2,10,2026-03-02,2026-03-02,Critical,Feature,Escalated,2
11_0,11,2026-01-18,2026-01-19,Critical,Outage,Escalated,2
11_1,11,2025-03-23,2025-03-28,Medium,Bug,Resolved,2
11_2,11,2024-09-12,2024-09-16,Critical,Feature,Escalated,1
12_0,12,2022-12-07,2022-12-11,Critical,Feature,Escalated,3
12_1,12,2023-09-30,2023-10-01,Critical,Billing,Resolved,1
12_2,12,2025-09-16,2025-09-17,Critical,Outage,Escalated,3
12_3,12,2024-01-10,2024-01-15,Critical,Feature,Resolved,2
13_0,13,2026-01-01,2026-01-05,Medium,Feature,Escalated,1
13_1,13,2025-04-15,2025-04-17,Critical,Feature,Resolved,1
13_2,13,2025-05-12,2025-05-12,Critical,Billing,Resolved,2
13_3,13,2025-12-24,2025-12-24,Medium,Billing,Open,4
13_4,13,2025-10-20,2025-10-24,Critical,Billing,Escalated,4
13_5,13,2025-03-13,2025-03-18,Low,Bug,Escalated,5
13_6,13,2026-02-12,2026-02-12,Low,Billing,Escalated,4
14_0,14,2024-04-20,2024-04-21,Medium,Billing,Escalated,5
14_1,14,2025-05-13,2025-05-18,Medium,Outage,Escalated,4
14_2,14,2025-12-07,2025-12-08,Medium,Outage,Resolved,1
14_3,14,2024-04-14,2024-04-16,Critical,Billing,Resolved,1
14_4,14,2025-12-13,2025-12-14,Medium,Bug,Resolved,5
14_5,14,2025-09-30,2025-10-02,Medium,Billing,Resolved,3
14_6,14,2026-02-13,2026-02-15,Low,Bug,Resolved,2
15_0,15,2025-09-27,2025-09-29,Medium,Billing,Resolved,2
15_1,15,2026-02-08,2026-02-11,Medium,Feature,Resolved,3
16_0,16,2025-07-11,2025-07-11,High,Outage,Escalated,3
16_1,16,2026-01-05,2026-01-08,High,Bug,Open,1
