user_id,company_id,company_state,role,join_date,last_active_date,is_active
1,1,OK,Admin,2025-08-13,2025-10-17 17:48:01.238085,False
2,2,GA,Viewer,2025-06-13,2025-12-27,True
3,2,GA,Developer,2025-10-20,2025-11-24,True
4,2,GA,Developer,2025-05-05,2026-02-24,True
5,2,GA,Developer,2025-06-05,2025-06-20,True
6,2,GA,Admin,2025-01-19,2025-09-05,True
7,3,MO,Viewer,2025-11-01,2025-11-06 17:48:01.238085,False
8,3,MO,Admin,2024-03-05,2025-11-02 17:48:01.238085,False
9,3,MO,Admin,2024-11-29,2025-08-24,True
10,3,MO,Developer,2025-07-16,2025-12-04 17:48:01.238085,False
11,3,MO,Developer,2023-02-13,2025-11-11 17:48:01.238085,False
12,3,MO,Developer,2022-12-29,2025-11-05 17:48:01.238085,False
13,3,MO,Developer,2024-06-05,2025-12-12 17:48:01.238085,False
14,3,MO,Admin,2024-04-17,2025-11-01 17:48:01.238085,False
15,3,MO,Developer,2023-07-04,2024-10-17,True
16,3,MO,Viewer,2025-05-08,2025-05-29,True
17,4,IL,Admin,2023-09-22,2025-05-18,True
18,4,IL,Developer,2024-05-05,2025-11-20,True
19,4,IL,Viewer,2024-03-12,2025-01-08,True
20,4,IL,Developer,2025-07-15,2026-02-21,True
21,4,IL,Viewer,2025-08-12,2025-09-01,True
22,5,RI,Developer,2024-03-01,2025-08-23,True
23,5,RI,Developer,2024-11-22,2025-07-05,True
24,6,NC,Admin,2025-07-15,2025-12-19,True
25,6,NC,Developer,2025-10-22,2026-02-08,True
26,6,NC,Viewer,2025-05-24,2025-11-22,True
27,6,NC,Viewer,2025-07-30,2026-02-07,True
28,6,NC,Admin,2026-01-01,2026-02-25,True
29,6,NC,Developer,2024-12-24,2025-03-15,True
30,6,NC,Admin,2025-08-29,2026-01-08,True
31,6,NC,Developer,2025-06-11,2025-11-05,True
32,6,NC,Admin,2024-06-02,2025-01-13,True
33,6,NC,Developer,2024-09-05,2025-09-12,True
34,7,WV,Developer,2023-05-29,2024-01-01,True
35,7,WV,Admin,2021-12-21,2023-05-24,True
36,7,WV,Admin,2022-10-07,2025-10-28,True
37,7,WV,Admin,2022-11-17,2024-07-20,True
38,7,WV,Admin,2021-12-18,2025-07-21,True
39,8,FL,Developer,2026-02-23,2026-03-04,True
40,8,FL,Developer,2023-06-18,2024-10-14,True
41,8,FL,Viewer,2026-01-23,2026-02-17,True
42,8,FL,Developer,2025-05-24,2025-12-13,True
43,8,FL,Admin,2026-02-19,2026-02-19,True
44,9,CA,Admin,2025-10-05,2025-12-31,True
45,9,CA,Developer,2026-02-23,2026-02-25,True
46,9,CA,Viewer,2025-12-27,2026-02-20,True
47,9,CA,Viewer,2025-12-05,2026-02-12,True
48,9,CA,Developer,2025-12-06,2026-02-19,True
49,9,CA,Admin,2026-01-28,2026-02-20,True
50,9,CA,Admin,2025-10-04,2025-11-22,True
51,9,CA,Developer,2025-12-27,2026-03-02,True
52,9,CA,Viewer,2025-12-31,2026-01-14,True
53,9,CA,Developer,2026-02-09,2026-02-24,True
54,9,CA,Developer,2025-10-01,2025-11-12,True
55,9,CA,Developer,2026-01-02,2026-01-02,True
56,9,CA,Developer,2025-11-28,2026-02-13,True
57,9,CA,Admin,2025-12-02,2026-02-03,True
58,9,CA,Admin,2026-02-05,2026-02-06,True
59,9,CA,Developer,2025-12-31,2026-03-03,True
60,9,CA,Viewer,2025-10-13,2026-01-24,True
61,9,CA,Developer,2025-10-31,2025-11-23,True
62,9,CA,Admin,2026-02-02,2026-03-01,True
63,9,CA,Admin,2025-11-16,2025-12-12,True
64,9,CA,Viewer,2025-09-20,2026-01-30,True
65,9,CA,Developer,2025-11-28,2026-01-26,True
66,9,CA,Admin,2025-09-24,2025-11-17,True
67,9,CA,Admin,2025-12-19,2026-01-14,True
68,9,CA,Developer,2025-12-18,2026-01-28,True
69,9,CA,Developer,2025-11-17,2025-12-05,True
70,9,CA,Viewer,2026-02-13,2026-03-03,True
71,9,CA,Viewer,2026-01-31,2026-02-10,True
72,9,CA,Viewer,2026-02-14,2026-03-02,True
73,9,CA,Developer,2025-12-14,2026-01-10,True
74,9,CA,Developer,2025-10-16,2025-12-03,True
75,9,CA,Viewer,2025-11-16,2025-12-24,True
76,9,CA,Admin,2025-09-07,2025-10-01,True
77,9,CA,Admin,2025-11-11,2026-01-06,True
78,9,CA,Developer,2025-12-30,2026-02-08,True
79,9,CA,Admin,2026-02-17,2026-03-03,True
80,9,CA,Developer,2025-11-21,2026-02-08,True
81,9,CA,Viewer,2025-12-07,2026-01-02,True
82,9,CA,Developer,2025-11-30,2026-02-19,True
83,9,CA,Developer,2025-10-30,2025-11-10,True
84,9,CA,Developer,2025-09-04,2025-12-19,True
85,9,CA,Admin,2026-02-09,2026-02-16,True
86,9,CA,Developer,2025-12-02,2026-02-09,True
87,9,CA,Admin,2025-10-18,2025-10-19,True
88,9,CA,Viewer,2025-11-14,2025-12-23,True
89,9,CA,Viewer,2025-09-21,2025-12-18,True
90,9,CA,Admin,2025-10-04,2026-01-11,True
91,9,CA,Developer,2025-11-19,2025-11-25,True
92,9,CA,Viewer,2025-10-30,2025-12-19,True
93,9,CA,Developer,2025-11-27,2025-12-31,True
94,9,CA,Admin,2025-11-08,2025-12-12,True
95,9,CA,Developer,2025-11-20,2026-01-13,True
96,9,CA,Viewer,2025-11-14,2026-01-13,True
97,9,CA,Developer,2025-12-24,2026-02-04,True
98,9,CA,Viewer,2025-12-01,2026-02-10,True
99,9,CA,Developer,2026-01-25,2026-02-25,True
100,9,CA,Viewer,2025-11-21,2026-01-21,True
101,9,CA,Viewer,2025-10-07,2026-02-04,True
102,9,CA,Viewer,2025-11-13,2025-12-01,True
103,9,CA,Admin,2025-09-18,2026-01-31,True
104,9,CA,Admin,2026-03-02,2026-03-02,True
105,9,CA,Admin,2025-09-15,2026-01-21,True
106,9,CA,Developer,2025-10-16,2026-02-11,True
107,9,CA,Developer,2025-11-06,2025-12-27,True
108,9,CA,Developer,2026-01-16,2026-01-20,True
109,9,CA,Viewer,2026-02-04,2026-02-16,True
110,9,CA,Developer,2025-10-26,2025-11-06,True
111,9,CA,Admin,2025-11-26,2026-01-09,True
112,9,CA,Admin,2026-02-28,2026-03-04,True
113,9,CA,Viewer,2025-10-01,2026-02-05,True
114,9,CA,Viewer,2025-09-05,2025-10-13,True
115,9,CA,Developer,2026-01-21,2026-01-24,True
116,9,CA,Viewer,2026-01-23,2026-02-18,True
117,9,CA,Admin,2025-09-10,2025-11-25,True
118,9,CA,Admin,2025-12-03,2026-02-15,True
119,9,CA,Admin,2025-10-09,2026-01-06,True
120,9,CA,Admin,2026-01-13,2026-01-31,True
121,9,CA,Viewer,2025-11-16,2026-01-08,True
122,9,CA,Developer,2025-08-31,2025-10-21,True
123,9,CA,Developer,2025-12-10,2025-12-29,True
124,9,CA,Viewer,2025-11-29,2026-01-04,True
125,9,CA,Developer,2026-01-07,2026-02-01,True
126,9,CA,Admin,2026-02-13,2026-02-16,True
127,9,CA,Viewer,2026-02-08,2026-02-08,True
128,9,CA,Viewer,2026-01-27,2026-01-31,True
129,9,CA,Admin,2025-10-07,2026-01-13,True
130,9,CA,Developer,2025-11-21,2025-11-28,True
131,9,CA,Viewer,2026-01-14,2026-02-21,True
132,9,CA,Developer,2025-12-31,2026-01-04,True
133,9,CA,Admin,2025-09-14,2025-11-04,True
134,9,CA,Developer,2026-01-23,2026-01-29,True
135,9,CA,Viewer,2025-09-02,2025-10-18,True
136,9,CA,Viewer,2025-10-23,2025-10-25,True
137,9,CA,Developer,2025-09-16,2026-02-17,True
138,9,CA,Viewer,2026-02-09,2026-03-04,True
139,9,CA,Developer,2025-12-18,2026-02-17,True
140,9,CA,Viewer,2025-10-31,2025-12-01,True
141,9,CA,Viewer,2025-11-26,2026-01-29,True
142,9,CA,Viewer,2025-12-08,2026-02-19,True
143,9,CA,Developer,2025-12-12,2026-02-20,True
144,10,LA,Viewer,2024-09-17,2025-09-04 17:48:01.238085,False
145,10,LA,Viewer,2024-04-30,2025-08-19 17:48:01.238085,False
146,10,LA,Developer,2024-12-09,2025-07-27 17:48:01.238085,False
147,10,LA,Developer,2024-09-17,2025-08-05 17:48:01.238085,False
148,10,LA,Admin,2024-02-12,2025-05-08,True
149,10,LA,Developer,2024-12-06,2025-08-29 17:48:01.238085,False
150,10,LA,Developer,2023-07-04,2025-09-06 17:48:01.238085,False
151,10,LA,Viewer,2025-01-31,2025-08-26 17:48:01.238085,False
152,10,LA,Admin,2025-08-09,2025-07-31 17:48:01.238085,False
153,10,LA,Developer,2023-09-24,2025-09-10 17:48:01.238085,False
154,11,WY,Viewer,2024-11-14,2025-02-15,True
155,11,WY,Developer,2024-07-26,2025-04-17,True
156,11,WY,Viewer,2025-05-15,2025-09-18,True
157,11,WY,Viewer,2025-12-14,2026-01-14,True
158,11,WY,Viewer,2024-11-05,2025-03-02,True
159,12,NE,Admin,2024-01-05,2025-01-23,True
